product_name,product_brand,product_category,product_code,product_series,business,product_identifier
DMPR-KR001 Mounting Kit,Johnson Controls,"Control Damper, Damper Parts and Accessories",DMPR-KR001,Not Specified,Building Automation and Controls,DMPR-KR001_Mounting_Kit-Joh-DMPR-KR001-XX-Bs
RD-2000 Round Control Damper,Johnson Controls,"Control Damper, Damper Parts and Accessories","DMPR-KR001, RCG, RLA, RLG, RLS",Not Specified,Building Automation and Controls,RD-2000_Round_Control_Damper-Joh-_RLS-XX-Bs
YCRJ,YORK,Reciprocating,Not Specified,Not Specified,Chillers,YCRJ-YOR-XX-XX-Cs
YCWJ,YORK,Reciprocating,Not Specified,Not Specified,Chillers,YCWJ-YOR-XX-XX-Cs
JC 5383A System Simulator and Calibration Kit,Johnson Controls,"Pneumatic Thermostat, Room Thermostat","JC 5383A, JC 5383B",Not Specified,Building Automation and Controls,JC_5383A_System_Simulator_and_Calibration_Kit-Joh-_JC_5383B-XX-Bs
DMPR-KC054 Blade Arm,Johnson Controls,Damper Parts and Accessories,DMPR-KC054,Not Specified,Building Automation and Controls,DMPR-KC054_Blade_Arm-Joh-DMPR-KC054-XX-Bs
DMPR-KC100 Internal Vertical Blade-to-Blade Linkage,Johnson Controls,Damper Parts and Accessories,DMPR-KC100,Not Specified,Building Automation and Controls,DMPR-KC100_Internal_Vertical_Blade-to-Blade_Linkage-Joh-DMPR-KC100-XX-Bs
DMPR-KC101 External Pin-to-Pin Linkage,Johnson Controls,Damper Parts and Accessories,DMPR-KC101,Not Specified,Building Automation and Controls,DMPR-KC101_External_Pin-to-Pin_Linkage-Joh-DMPR-KC101-XX-Bs
DMPR-KC150 Horizontal Blade-to-Blade Bracket,Johnson Controls,Damper Parts and Accessories,DMPR-KC150,Not Specified,Building Automation and Controls,DMPR-KC150_Horizontal_Blade-to-Blade_Bracket-Joh-DMPR-KC150-XX-Bs
DMPR-KC151 Horizontal Blade-to-Blade Bracket,Johnson Controls,Damper Parts and Accessories,DMPR-KC151,Not Specified,Building Automation and Controls,DMPR-KC151_Horizontal_Blade-to-Blade_Bracket-Joh-DMPR-KC151-XX-Bs
DMPR-KC152 90 Degree Blade-to-Blade Linkage,Johnson Controls,Damper Parts and Accessories,DMPR-KC152,Not Specified,Building Automation and Controls,DMPR-KC152_90_Degree_Blade-to-Blade_Linkage-Joh-DMPR-KC152-XX-Bs
DMPR-KC200 Support Bar,Johnson Controls,Damper Parts and Accessories,DMPR-KC200,Not Specified,Building Automation and Controls,DMPR-KC200_Support_Bar-Joh-DMPR-KC200-XX-Bs
DMPR-KC201 Damper Fastener,Johnson Controls,Damper Parts and Accessories,DMPR-KC201,Not Specified,Building Automation and Controls,DMPR-KC201_Damper_Fastener-Joh-DMPR-KC201-XX-Bs
DMPR-KC202 Internal Pin-to-Pin Coupling,Johnson Controls,Damper Parts and Accessories,"DMPR-KC202, DMPR-KC209",Not Specified,Building Automation and Controls,DMPR-KC202_Internal_Pin-to-Pin_Coupling-Joh-_DMPR-KC209-XX-Bs
DMPR-KC203 Drive Arm,Johnson Controls,Damper Parts and Accessories,DMPR-KC203,Not Specified,Building Automation and Controls,DMPR-KC203_Drive_Arm-Joh-DMPR-KC203-XX-Bs
DMPR-KS101 SD-1300 Actuator Mounting Bracket Conversion Kit,Johnson Controls,Damper Parts and Accessories,DMPR-KS101,Not Specified,Building Automation and Controls,DMPR-KS101_SD-1300_Actuator_Mounting_Bracket_Conversion_Kit-Joh-DMPR-KS101-XX-Bs
DMPR-KS102 SD-1300 Actuator Mounting Bracket Conversion Kit,Johnson Controls,Damper Parts and Accessories,DMPR-KS102,Not Specified,Building Automation and Controls,DMPR-KS102_SD-1300_Actuator_Mounting_Bracket_Conversion_Kit-Joh-DMPR-KS102-XX-Bs
DMPR-KS103 SD-1300 Actuator Mounting Bracket Conversion Kit,Johnson Controls,Damper Parts and Accessories,DMPR-KS103,Not Specified,Building Automation and Controls,DMPR-KS103_SD-1300_Actuator_Mounting_Bracket_Conversion_Kit-Joh-DMPR-KS103-XX-Bs
YIA,YORK,"Absorption, Centrifugal, Screw Water Cooled",Not Specified,Not Specified,Chillers,YIA-YOR-XX-XX-Cs
Modular I/O Assembly,PENN Controls,PENN Refrigeration Component and Part,"MI1, MIOA, MIOA0000, MIOA0202, MIOA0303, MIOA1010, MIOA1100, MIOA1212, MO2, MO3",MIOA,Building Automation and Controls,Modular_I/O_Assembly-PEN-_MO3-MA-Bs
YPC,YORK,"Absorption, Centrifugal, Screw Water Cooled",Not Specified,Not Specified,Chillers,YPC-YOR-XX-XX-Cs
T-4000 Conversion Kit,Johnson Controls,Accessory,"T-4000-605, T-4000-630",Not Specified,Building Automation and Controls,T-4000_Conversion_Kit-Joh-_T-4000-630-XX-Bs
